범죄대분류,범죄중분류,계,서울,부산,대구,인천,광주,대전,울산,세종,경기 고양,경기 과천,경기 광명,경기 광주,경기 구리,경기 군포,경기 김포,경기 남양주,경기 동두천,경기 부천,경기 성남,경기 수원,경기 시흥,경기 안산,경기 안성,경기 안양,경기 양주,경기 여주,경기 오산,경기 용인,경기 의왕,경기 의정부,경기 이천,경기 파주,경기 평택,경기 포천,경기 하남,경기 화성,강원 강릉,강원 동해,강원 삼척,강원 속초,강원 원주,강원 춘천,강원 태백,충북 제천,충북 청주,충북 충주,충남 계룡,충남 공주,충남 논산,충남 당진,충남 보령,충남 서산,충남 아산,충남 천안,전북 군산,전북 김제,전북 남원,전북 익산,전북 전주,전북 정읍,전남 광양,전남 나주,전남 목포,전남 순천,전남 여수,경북 경산,경북 경주,경북 구미,경북 김천,경북 문경,경북 상주,경북 안동,경북 영주,경북 영천,경북 포항,경남 거제,경남 김해,경남 밀양,경남 사천,경남 양산,경남 진주,경남 창원,경남 통영,제주 서귀포,제주 제주,기타도시,도시이외
강력범죄,살인기수,356,46,29,17,20,9,16,7,1,6,-,1,3,1,-,2,3,1,6,5,10,8,4,2,6,-,2,1,2,1,4,1,3,4,2,2,4,-,-,-,-,4,3,-,1,1,2,-,1,3,1,-,2,-,4,1,-,-,4,3,-,-,-,1,3,3,2,3,1,1,-,-,1,1,2,5,2,5,2,-,3,2,3,-,-,4,2,51
강력범죄,살인미수등,558,100,43,12,28,8,9,15,1,5,1,1,10,5,1,2,7,-,11,4,19,7,20,4,4,2,5,4,13,1,9,-,2,6,4,1,9,-,3,2,-,3,3,-,3,6,6,-,1,-,1,2,3,5,11,2,1,-,5,7,3,2,-,4,2,-,1,3,4,-,-,1,1,1,1,6,-,4,-,3,1,3,15,3,1,11,2,49
강력범죄,강도,"1,149",260,137,51,88,47,35,33,3,11,1,4,4,1,3,6,9,-,17,17,26,9,19,3,7,2,-,1,5,1,17,2,4,9,3,1,3,5,2,-,5,2,5,3,2,17,-,-,6,1,3,7,5,9,8,8,-,2,15,12,1,5,-,5,4,6,6,6,15,1,-,2,1,1,1,7,5,10,4,1,7,6,26,1,1,24,1,46
강력범죄,강간,"5,155","1,129",314,197,347,170,171,112,10,83,-,32,16,30,18,20,60,6,108,114,124,57,98,15,45,27,14,20,38,6,45,26,38,48,30,2,24,30,12,7,12,54,33,2,14,85,29,2,14,13,13,12,10,33,76,19,6,6,25,62,11,21,4,33,30,20,36,21,35,15,9,6,13,3,9,57,18,31,8,5,31,32,68,15,16,68,11,366
강력범죄,유사강간,583,123,28,37,47,21,14,16,1,4,1,3,2,3,2,3,2,-,15,10,24,4,8,2,4,1,1,3,10,-,6,1,3,9,1,-,7,5,2,2,3,4,3,-,1,13,7,-,-,2,1,-,-,3,5,2,-,1,4,7,4,1,-,5,1,2,2,1,4,-,-,-,-,1,-,7,4,6,-,2,4,1,7,1,3,13,-,33
강력범죄,강제추행,"16,054","4,667",951,632,"1,176",488,420,293,40,247,20,92,60,83,66,92,165,37,339,348,408,120,307,55,220,32,45,67,184,26,141,64,85,148,45,19,129,58,24,13,24,60,73,12,34,222,58,1,29,26,52,39,56,57,208,50,14,17,64,165,22,25,6,97,72,67,50,60,72,17,12,17,44,16,13,97,73,111,12,25,76,74,202,27,95,223,39,743
강력범죄,기타 강간  강제추행등,408,72,30,14,27,15,15,9,-,4,-,2,5,2,2,3,2,3,10,6,14,1,3,1,3,2,-,1,3,1,3,1,1,8,2,-,2,1,3,-,-,2,-,-,1,3,3,1,3,-,-,-,1,4,5,4,2,-,3,6,1,1,-,5,3,-,-,1,1,1,-,1,-,-,-,3,2,4,-,4,1,3,7,3,1,7,3,47
강력범죄,방화,"1,502",286,98,68,84,38,44,38,2,22,2,8,4,11,4,6,18,6,24,21,29,15,32,4,9,5,3,6,12,-,17,2,9,20,16,3,17,8,1,3,2,15,9,1,7,23,9,2,5,6,1,3,8,16,30,7,1,2,13,12,2,4,2,15,7,8,3,13,9,5,2,3,5,2,6,10,10,17,5,2,5,6,29,-,11,15,4,135
절도범죄,절도범죄,"203,037","46,861","16,777","9,171","10,025","6,050","6,981","4,227",638,"2,606",159,"1,221",881,936,837,"1,004","1,470",342,"4,471","3,963","5,610","1,500","3,285",791,"2,003",445,450,"1,017","2,468",232,"1,753",632,"1,291","1,813",546,528,"1,866",786,179,226,310,"1,310","1,117",119,463,"3,711",785,54,439,526,615,462,674,"1,256","3,277","1,010",243,239,"1,153","2,386",245,401,45,"1,196",884,"1,076","1,319","1,143","1,562",450,228,262,574,269,344,"1,942","1,114","2,380",413,307,974,"1,700","3,760",551,927,"2,573",369,"9,839"
폭력범죄,상해,"50,028","6,949","4,637","2,863","2,289","1,309","1,415","1,422",162,555,36,237,237,184,164,189,395,106,560,755,951,343,546,150,458,170,121,194,474,50,391,196,288,568,179,137,553,489,243,157,195,506,343,114,174,835,263,27,152,174,234,136,208,383,613,342,67,106,202,499,119,194,10,342,330,336,243,364,446,186,86,137,276,154,155,642,532,681,170,177,312,395,"1,243",372,344,638,124,"4,325"
폭력범죄,폭행,"165,803","39,337","9,749","7,457","11,762","4,797","5,121","4,026",377,"2,685",179,"1,320",955,935,831,670,"2,041",385,"3,398","3,115","4,326","1,742","3,284",630,"2,192",789,360,852,"2,346",347,"1,958",854,"1,180","2,008",577,379,"1,550",767,257,253,346,"1,624",887,156,322,"3,068",383,12,113,141,336,125,374,861,"1,606",885,264,245,991,"1,724",272,288,18,"1,240",865,"1,121",859,483,868,335,158,143,513,192,176,"1,172",620,"1,618",164,228,716,808,"2,736",343,701,"2,411",210,"6,291"
폭력범죄,체포  감금,"1,318",268,77,47,132,43,30,28,3,19,-,8,8,4,5,5,20,3,23,11,26,13,18,2,10,3,2,5,17,4,22,11,6,20,7,4,13,7,1,3,1,4,4,-,4,23,6,1,4,3,1,3,4,11,14,10,6,1,11,15,1,5,-,13,10,9,12,4,8,3,2,2,3,2,3,12,9,7,5,4,9,7,16,3,4,14,7,90
폭력범죄,협박,"15,870","3,036","1,031",600,870,400,528,461,45,271,26,111,118,74,65,52,208,44,319,340,493,187,334,59,202,75,39,64,237,36,168,73,110,211,64,42,153,79,31,24,49,121,85,18,36,289,49,6,35,40,54,11,39,100,216,88,26,28,72,131,50,25,4,107,113,86,76,59,125,42,23,30,50,22,28,133,88,142,27,31,92,93,208,42,92,268,34,"1,007"
폭력범죄,약취  유인,201,35,20,8,10,8,4,3,2,4,-,1,-,-,-,-,3,-,2,5,5,1,1,1,3,1,1,-,4,-,5,2,1,2,1,1,5,-,1,-,-,4,1,1,-,-,1,-,-,2,-,-,1,-,3,-,-,-,-,4,1,3,-,1,4,-,1,-,3,1,-,-,-,-,-,-,7,2,-,-,2,-,1,-,2,2,2,12
폭력범죄,폭력행위등,"13,302","2,615","1,052",534,899,389,418,268,42,195,9,97,85,69,56,50,98,33,226,222,437,153,253,39,188,30,31,99,121,9,108,62,77,177,59,49,180,59,34,17,26,90,63,34,19,188,46,6,21,19,42,32,39,112,188,122,19,20,78,185,27,36,3,90,59,66,40,57,110,41,16,21,27,21,21,130,76,142,21,36,79,56,272,51,77,134,20,685
폭력범죄,공갈,"3,745",694,416,192,255,114,130,95,30,46,2,14,25,14,13,7,31,5,87,47,85,31,60,8,32,9,8,12,34,5,22,19,28,48,9,6,52,12,5,10,8,21,7,1,7,43,16,1,11,5,9,8,12,12,60,18,5,2,9,30,2,9,-,25,34,22,14,28,30,7,5,1,10,6,13,63,13,29,8,4,15,44,60,10,17,42,19,218
