시설물명,시설물구분,시설물소재지,준공일자
부암1동 동부교육청 입구 옹벽,옹벽,부산광역시 부산진구 부암동,19860510
전포천본류 복개구조물,교량,부산광역시 부산진구 부전2동,19801231
부전천본류 복개구조물,교량,부산광역시 부산진구 부전2동,19791231
사당천복개구조물,교량,서울특별시 서초구 방배동,19801231
반포천복개구조물,교량,서울특별시 서초구 서초동,19820929
두구교(구),교량,부산광역시 금정구 두구동,19660725
진해1부두,항만,경상남도 창원시 진해구 행암동,19700929
호형정수장,상하수도,전라남도 고흥군 고흥읍,19820101
금사정수장,상하수도,전라남도 고흥군 포두면,19790101
신호정수장,상하수도,전라남도 고흥군 도화면,19850101
남산천복개구조물,교량,대구광역시 중구 재마루길,19701230
이천천복개구조물,교량,대구광역시 남구 이천동,19701230
산복교,교량,부산광역시 중구 보수동1가,19770531
부산터널 옹벽(구),옹벽,부산광역시 중구 영주동,19611231
괴정천,교량,부산광역시 사하구 사리로7번길,19830130
하단B,교량,부산광역시 사하구 하신번영로,19830130
하단A,교량,부산광역시 사하구 하신번영로380번길,19830130
한벽교,교량,전라북도 전주시 완산구 교동,19860930
부산항제7부두,항만,부산광역시 남구 문현동,19780829
부산항자성대부두,항만,부산광역시 동구 충장대로,19821231
부산항양곡부두,항만,부산광역시 동구 충장대로,19781201
부산항국제여객부두(남측구간),항만,부산광역시 중구 중앙동4가,19780530
엄궁1배수펌프장,하천,부산광역시 사상구 강변대로532번길,19800101
엄궁2배수펌프장,하천,부산광역시 사상구 강변대로532번길,19680101
감전1배수펌프장,하천,부산광역시 사상구 낙동대로,19740101
올림픽대로 하일방향 가양주공아파트 7단지 앞 우측 옹벽,옹벽,서울특별시 강서구 가양3동,19860712
올림픽대로 공항방향 가양1동 동신아파트 앞 우측 옹벽,옹벽,서울특별시 강서구 가양2동,19860712
올림픽대로 공항방향 반포주공아파트 앞 우측,옹벽,서울특별시 서초구 반포본동,19860712
올림픽대로 공항방향 성수대교 남단 본선 좌측 옹벽,옹벽,서울특별시 강남구 압구정동,19860712
쌍미천 복개도로,교량,부산광역시 연제구 연산동,19710101
서울대학교병원 소아진료부,건축물,서울특별시 종로구 연건동 서울대학교병원,19860424
서울대학교병원 신본관,건축물,서울특별시 종로구 연건동 서울대학교병원,19810223
서울대학교병원 소아연구동,건축물,서울특별시 종로구 연건동 서울대학교병원,19870427
초량 제2지하차도,터널,부산광역시 동구 초량동,19651231
초량 제1지하차도,터널,부산광역시 동구 초량동,19661231
제물포지하도상가,건축물,인천광역시 남구 경인로,19821128
부평시장지하도상가,건축물,인천광역시 부평구 부평동,19800322
석바위지하도상가,건축물,인천광역시 남구 주안동,19860731
동인천권역지하도상가,건축물,인천광역시 중구 인현동,19710507
부평권역지하도상가,건축물,인천광역시 부평구 부평동,19780831
공촌천배수갑문,하천,인천광역시 서구 경서동,19841230
심곡천배수갑문,하천,인천광역시 서구 경서동,19841230
불정상수도,상하수도,충청북도 괴산군 불정면,19810410
청천상수도,상하수도,충청북도 괴산군 선평길,19850328
연풍상수도,상하수도,충청북도 괴산군 연풍면,19820920
